"Label (Grouping)","California!!Households!!Estimate","California!!Households!!Margin of Error","California!!Families!!Estimate","California!!Families!!Margin of Error","California!!Married-couple families!!Estimate","California!!Married-couple families!!Margin of Error","California!!Nonfamily households!!Estimate","California!!Nonfamily households!!Margin of Error"
"Total","13,005,097","±17,539","8,910,617","±24,114","6,446,965","±27,509","4,094,480","±23,476"
"Less than $10,000","5.1%","±0.1","3.3%","±0.1","1.5%","±0.1","10.3%","±0.3"
"$10,000 to $14,999","4.3%","±0.1","2.5%","±0.1","1.3%","±0.1","9.0%","±0.2"
"$15,000 to $24,999","7.9%","±0.1","6.6%","±0.1","4.6%","±0.1","11.8%","±0.2"
"$25,000 to $34,999","7.6%","±0.1","7.1%","±0.1","5.5%","±0.2","9.4%","±0.2"
"$35,000 to $49,999","10.9%","±0.1","10.6%","±0.2","9.0%","±0.2","11.8%","±0.3"
"$50,000 to $74,999","16.0%","±0.2","15.9%","±0.2","15.0%","±0.2","15.9%","±0.3"
"$75,000 to $99,999","12.3%","±0.2","12.8%","±0.2","13.3%","±0.2","10.4%","±0.3"
"$100,000 to $149,999","16.4%","±0.2","18.2%","±0.2","20.8%","±0.2","11.4%","±0.3"
"$150,000 to $199,999","8.4%","±0.1","9.8%","±0.2","12.0%","±0.2","4.6%","±0.2"
"$200,000 or more","11.1%","±0.1","13.2%","±0.2","17.0%","±0.2","5.4%","±0.2"
"Median income (dollars)","71,805","±294","82,009","±339","99,515","±624","46,599","±507"
"Mean income (dollars)","101,761","±503","113,488","±642","131,812","±786","69,970","±667"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","36.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","37.4%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.3%","(X)"
