City,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2015 Price,2016 Price,2017 Price,2018 Price,2019 Price,2020 Price,2021 Price,2016 Population Change (%),2017 Population Change (%),2018 Population Change (%),2019 Population Change (%),2020 Population Change (%),2021 Population Change (%),2016 Price Change (%),2017 Price Change (%),2018 Price Change (%),2019 Price Change (%),2020 Price Change (%),2021 Price Change (%)
Acampo,787.0,466.0,520.0,294.0,204.0,261.0,263.0,411290.3,457113.1,499479.8,549449.1,576265.3,577935.7,706673.6,-40.78780177890724,11.587982832618025,-43.46153846153846,-30.612244897959183,27.941176470588236,0.7662835249042145,11.141230415596961,9.268318934635653,10.004268440885895,4.880561274920656,0.28986649031269224,22.275471129400735
Acton,7058.0,7170.0,7278.0,7185.0,7232.0,7054.0,6809.0,429758.9,449873.7,483729.3,536849.0,565247.3,591931.2,698957.6,1.586851799376594,1.506276150627615,-1.277823577906018,0.6541405706332637,-2.461283185840708,-3.4732066912390134,4.680484802059943,7.525578845796048,10.981286434375592,5.289811473989901,4.720747892117292,18.08088507583314
Adelanto,32059.0,32311.0,32867.0,33416.0,33660.0,34238.0,37229.0,151547.4,163231.4,185646.1,215282.2,229858.4,245152.2,300593.3,0.786050718986868,1.7207762062455512,1.6703684546809872,0.7301891309552311,1.7171717171717171,8.735907471230796,7.7097990463709705,13.731855513093688,15.963761156307624,6.77074091587692,6.653574548504652,22.614971434072373
Adin,173.0,155.0,206.0,201.0,171.0,209.0,171.0,151136.3,163947.3,175406.9,186325.1,191057.7,193622.4,229474.8,-10.404624277456648,32.903225806451616,-2.4271844660194173,-14.925373134328357,22.22222222222222,-18.181818181818183,8.476454696853105,6.98980709044919,6.2244985801584845,2.5399691184923587,1.3423693470611142,18.516659229510633
Agoura Hills,20697.0,20689.0,20736.0,20636.0,20533.0,20269.0,20362.0,726644.3,729300.6,782420.1,849757.7,857486.5,897807.2,1046212.4,-0.038652944871237375,0.22717386050558266,-0.48225308641975306,-0.49912773793370807,-1.2857351580382799,0.45882875326853817,0.36555712334080515,7.2836221442845375,8.606322869261664,0.9095298577465138,4.702196477728799,16.52974046098094
Agua Dulce,3567.0,3541.0,3598.0,3728.0,3742.0,3494.0,3359.0,502798.9,521557.3,562771.2,621364.9,655143.7,693722.1,802512.5,-0.7289038407625456,1.6097147698390286,3.6131183991106166,0.37553648068669526,-6.627471940138962,-3.8637664567830567,3.7307957515420114,7.902084775728374,10.411637980053008,5.4362259599793825,5.888540178284554,15.682129775020867
Aguanga,766.0,673.0,830.0,835.0,805.0,696.0,735.0,279156.5,301992.2,324326.6,359367.7,370827.1,398712.3,469102.4,-12.140992167101828,23.328380386329865,0.6024096385542169,-3.592814371257485,-13.540372670807454,5.603448275862069,8.180250146423248,7.395687703192322,10.804263356752125,3.18876738226612,7.519730893454122,17.654358794549363
Ahwahnee,1709.0,2225.0,2340.0,2461.0,2513.0,2270.0,2134.0,261362.0,268037.5,280034.2,314391.9,324786.5,335858.5,405556.7,30.19309537741369,5.168539325842696,5.17094017094017,2.112962210483543,-9.669717469160366,-5.991189427312775,2.554120338840382,4.475754325420887,12.269108558883168,3.30625566371143,3.4090086872453136,20.7522513201244
Alameda,76733.0,77409.0,78246.0,78462.0,78522.0,79827.0,78320.0,817787.7,909422.1,963831.1,1040587.1,1007557.8,1042135.4,1197310.7,0.8809768939048388,1.0812696198116498,0.27605244996549344,0.07647013841095053,1.6619546114464736,-1.8878324376464104,11.205157524379498,5.982810402342323,7.963635952398714,-3.174102388930242,3.4318229683696537,14.890128480425858
Albany,19249.0,19420.0,19682.0,19758.0,19804.0,20145.0,19958.0,859569.9,937844.3,999449.2,1096556.9,1098504.5,1126011.0,1275667.4,0.8883578367707413,1.349124613800206,0.38613961995732143,0.23281708674967103,1.7218743688143812,-0.9282700421940928,9.106228591764326,6.568776928110551,9.716121639799196,0.17761048241090757,2.50399520438924,13.290847069877639
Albion,303.0,227.0,253.0,302.0,254.0,289.0,274.0,461772.6,497661.6,534271.3,568964.0,590254.5,608212.7,717724.3,-25.082508250825082,11.45374449339207,19.367588932806324,-15.894039735099339,13.779527559055119,-5.190311418685121,7.772007260716639,7.356344150322242,6.49346128081369,3.741976645271054,3.0424503328648838,18.005477360140638
Alhambra,84782.0,84866.0,85168.0,84974.0,84647.0,84509.0,83174.0,539335.9,544123.4,590276.6,667814.1,696025.3,724631.5,807017.1,0.09907763440352906,0.35585511276600756,-0.22778508359947397,-0.3848235930990656,-0.16302999515635522,-1.5797134033061568,0.8876657385499463,8.482120048503694,13.135790915648698,4.224409158177413,4.109936808331529,11.369309780212422
Aliso Viejo,49829.0,50219.0,50691.0,50925.0,50663.0,50385.0,51943.0,615006.4,634138.1,686907.6,737663.0,725739.3,748328.0,861545.0,0.7826767545003913,0.9398833110973934,0.4616204059892289,-0.5144820814923907,-0.5487239208100586,3.0921901359531607,3.110813155765526,8.321452377644555,7.388970510735363,-1.6164156261056815,3.112508858208444,15.129328315925635
Alondra Park,7865.0,8146.0,7441.0,8097.0,8272.0,8000.0,8022.0,438676.1,460157.5,514998.8,586150.9,614283.0,647954.2,737393.4,3.572790845518118,-8.654554382519027,8.816019352237603,2.161294306533284,-3.2882011605415857,0.27499999999999997,4.896870378851281,11.917941139718463,13.81597394013346,4.799463755834884,5.481382359596465,13.80332128412781
Alpaugh,1103.0,1124.0,1080.0,1074.0,1145.0,869.0,935.0,90206.9,97347.0,106688.4,111613.9,117603.7,130030.5,152695.3,1.9038984587488668,-3.9145907473309607,-0.5555555555555556,6.610800744878957,-24.10480349344978,7.59493670886076,7.91524816837737,9.595981386175223,4.616715594197682,5.366535888451172,10.566674347830896,17.430372105006125
Alpine,14830.0,15188.0,14795.0,15233.0,14878.0,14958.0,15648.0,521565.8,560189.9,589367.7,630164.1,627112.6,663580.0,787783.6,2.4140256237356708,-2.5875691335264683,2.9604596147347078,-2.330466749819471,0.5377066810055114,4.612916165262735,7.405412701522998,5.208555170309199,6.9220624068811425,-0.4842389466489761,5.815127937151961,18.717200638958374
Alta,455.0,448.0,476.0,485.0,566.0,703.0,645.0,264668.3,290407.5,325641.4,346494.1,355946.2,377394.9,435859.4,-1.5384615384615385,6.25,1.8907563025210083,16.70103092783505,24.204946996466433,-8.250355618776672,9.725078522815165,12.13257233370351,6.403577677776829,2.727925237399435,6.025826374884747,15.491597793186923
Altadena,44621.0,45001.0,45236.0,45146.0,44850.0,43037.0,43384.0,630039.9,650486.4,712758.7,805078.0,838517.5,885278.4,1028573.2,0.8516169516595324,0.5222106175418324,-0.19895658325227694,-0.6556505559739512,-4.042363433667782,0.8062829658201083,3.245270656667935,9.57319015432143,12.95239188241407,4.153572697303864,5.576615872656208,16.186410964053785
Alturas,2660.0,2616.0,2613.0,2577.0,2567.0,2550.0,2693.0,91602.8,95132.5,101282.1,108329.7,115361.1,115937.5,136584.7,-1.6541353383458646,-0.11467889908256881,-1.377726750861079,-0.38804811796662786,-0.6622516556291391,5.607843137254902,3.853266494037297,6.464247234120838,6.958386526345713,6.490740766382634,0.49964849502994874,17.80890566037737
Amador City,152.0,174.0,148.0,167.0,167.0,153.0,183.0,258568.3,289824.0,321591.9,357881.5,374130.8,396328.4,457629.0,14.473684210526317,-14.942528735632186,12.837837837837837,0.0,-8.383233532934131,19.607843137254903,12.087986036958132,10.961100529976822,11.284363816377208,4.540413516764624,5.933112162912018,15.46712271944175
American Canyon,20271.0,20334.0,20341.0,20306.0,20261.0,20256.0,21735.0,418021.7,465708.5,503159.6,538587.5,552097.1,570136.5,659017.5,0.31078881160278227,0.034425100816366676,-0.17206627009488226,-0.22160937653895402,-0.024677952717042595,7.301540284360189,11.407733139212626,8.041747144404702,7.04108596954128,2.508338942140316,3.2674324860608803,15.589424637784111
Anaheim,345578.0,346776.0,349007.0,349668.0,349964.0,353085.0,348204.0,490698.0,511999.6,557879.6,603717.8,610180.7,646573.4,735058.1,0.346665586350983,0.6433547881052899,0.18939448205909912,0.0846517267808321,0.8918060143329027,-1.3823866774289477,4.3410814798511455,8.960944500737892,8.216504062883832,1.0705167215543265,5.964249606714875,13.685174799953097
Anderson,10122.0,10156.0,10176.0,10265.0,10407.0,10479.0,11208.0,191181.0,202387.8,215700.3,229720.6,245026.2,262410.2,305157.0,0.335901995653033,0.19692792437967704,0.8746069182389937,1.38334145153434,0.6918420294032862,6.956770684225594,5.861879580083789,6.577718617426545,6.499898238435467,6.662702430691896,7.094751500043668,16.290067992783815
Angwin,3522.0,3505.0,3463.0,3424.0,3179.0,3415.0,3088.0,645135.1,728659.5,781387.6,804074.6,813255.3,814657.4,914822.7,-0.4826802952867689,-1.1982881597717547,-1.1261911637308692,-7.155373831775701,7.42371815036175,-9.575402635431917,12.946807575653537,7.236315453239817,2.9034246256275376,1.141772168900755,0.17240588533514342,12.295389448374241
Antioch,107501.0,108675.0,110026.0,110730.0,111200.0,111468.0,114750.0,326201.5,361834.0,401903.7,445844.2,459871.2,483128.2,579033.0,1.0920828643454479,1.243156199677939,0.6398487630196499,0.4244558836810259,0.24100719424460432,2.9443427710194854,10.923462951580541,11.074056058855723,10.93309168340575,3.146166306525912,5.057285605186843,19.85079736599933
Anza,2771.0,2507.0,3284.0,3151.0,3076.0,2101.0,2396.0,190664.0,211127.0,233494.9,277839.3,289129.0,312121.5,371202.4,-9.527246481414652,30.993218986836858,-4.049939098660171,-2.3801967629324023,-31.697009102730817,14.040932889100427,10.732492762136534,10.59452367532338,18.9915925358541,4.063392039931,7.95233269578631,18.92881458021957
Apple Valley,71083.0,71455.0,71916.0,72359.0,72726.0,73339.0,75311.0,193680.5,207602.0,232496.5,262765.6,267858.4,283800.2,348750.0,0.5233318796336677,0.6451612903225806,0.6159964402914511,0.5071933000732459,0.842889750570635,2.6888831317580006,7.1878686806364085,11.991454802940241,13.019163729346452,1.9381532438036209,5.951577400596729,22.885748494891825
Aptos,6048.0,5842.0,5775.0,5797.0,6387.0,6245.0,6372.0,796623.2,870272.3,916477.2,979337.0,972062.0,987808.3,1240864.0,-3.4060846560846563,-1.1468675111263265,0.38095238095238093,10.177678109366914,-2.2232660090809455,2.0336269015212167,9.245161325956875,5.309246312906881,6.858850389295014,-0.7428494992020112,1.619886385847821,25.617895698993415
Arbuckle,3360.0,3244.0,3548.0,3636.0,3809.0,3368.0,3325.0,212266.2,236074.2,259781.2,285650.3,304460.5,324803.8,376395.5,-3.4523809523809526,9.3711467324291,2.480270574971815,4.757975797579758,-11.577841953268575,-1.2767220902612826,11.216105060532481,10.042181653056538,9.958033914694356,6.585044720765219,6.681753462271785,15.883958254182993
Arcadia,57564.0,57755.0,58156.0,58207.0,58152.0,57053.0,56697.0,1096247.6,1024054.9,1077248.4,1165661.3,1132696.4,1142269.0,1249972.1,0.331804600097283,0.6943121807635703,0.08769516472934864,-0.09449035339392169,-1.8898748108405559,-0.623981210453438,-6.585437450444595,5.194399245587309,8.207289980658143,-2.8279998658272465,0.8451161317366325,9.42887358406821
Arcata,17752.0,17775.0,17814.0,18050.0,18178.0,18266.0,19038.0,351218.2,381185.5,414073.8,431803.7,448062.4,455380.0,486728.6,0.1295628661559261,0.21940928270042193,1.324800718535983,0.7091412742382271,0.48410166134888327,4.226431621592029,8.532388127950085,8.627899015046477,4.281821259881698,3.7652989078139005,1.6331653805362771,6.884052878914308
Arden-Arcade,93993.0,96898.0,98616.0,100548.0,102864.0,93719.0,95909.0,310907.3,334193.4,357693.4,382608.4,397734.0,415920.2,484164.3,3.090655687125637,1.7729984106999113,1.9591141396933562,2.303377491347416,-8.89037953025354,2.336772692837098,7.489724429114414,7.031856404106125,6.965462600092705,3.95328487299285,4.572452945938746,16.40797922293747
