City,2015,2016,2017,2018,2019,2020,2021
Acampo,411290.3,457113.1,499479.8,549449.1,576265.3,577935.7,706673.6
Acton,429758.9,449873.7,483729.3,536849,565247.3,591931.2,698957.6
Adelanto,151547.4,163231.4,185646.1,215282.2,229858.4,245152.2,300593.3
Adin,151136.3,163947.3,175406.9,186325.1,191057.7,193622.4,229474.8
Agoura Hills,726644.3,729300.6,782420.1,849757.7,857486.5,897807.2,1046212.4
Agua Dulce,502798.9,521557.3,562771.2,621364.9,655143.7,693722.1,802512.5
Aguanga,279156.5,301992.2,324326.6,359367.7,370827.1,398712.3,469102.4
Ahwahnee,261362,268037.5,280034.2,314391.9,324786.5,335858.5,405556.7
Alameda,817787.7,909422.1,963831.1,1040587.1,1007557.8,1042135.4,1197310.7
Albany,859569.9,937844.3,999449.2,1096556.9,1098504.5,1126011,1275667.4
Albion,461772.6,497661.6,534271.3,568964,590254.5,608212.7,717724.3
Alhambra,539335.9,544123.4,590276.6,667814.1,696025.3,724631.5,807017.1
Aliso Viejo,615006.4,634138.1,686907.6,737663,725739.3,748328,861545
Alondra Park,438676.1,460157.5,514998.8,586150.9,614283,647954.2,737393.4
Alpaugh,90206.9,97347,106688.4,111613.9,117603.7,130030.5,152695.3
Alpine,521565.8,560189.9,589367.7,630164.1,627112.6,663580,787783.6
Alta,264668.3,290407.5,325641.4,346494.1,355946.2,377394.9,435859.4
Altadena,630039.9,650486.4,712758.7,805078,838517.5,885278.4,1028573.2
Alturas,91602.8,95132.5,101282.1,108329.7,115361.1,115937.5,136584.7
Amador City,258568.3,289824,321591.9,357881.5,374130.8,396328.4,457629
American Canyon,418021.7,465708.5,503159.6,538587.5,552097.1,570136.5,659017.5
Anaheim,490698,511999.6,557879.6,603717.8,610180.7,646573.4,735058.1
Anderson,191181,202387.8,215700.3,229720.6,245026.2,262410.2,305157
Angels Camp,268003.8,293740.8,322202.5,344451.2,357614.6,368565,428966
Angelus Oaks,167649.8,174037.2,205134.6,237674.6,243117.7,252376.8,308129.2
Angwin,645135.1,728659.5,781387.6,804074.6,813255.3,814657.4,914822.7
Annapolis,586087.3,581020.1,576167,604776.8,587106.1,580860.9,663055.6
Antioch,326201.5,361834,401903.7,445844.2,459871.2,483128.2,579033
Anza,190664,211127,233494.9,277839.3,289129,312121.5,371202.4
Apple Valley,193680.5,207602,232496.5,262765.6,267858.4,283800.2,348750
Applegate,349663.8,376544.1,405120.1,431505.6,446283.1,472874.6,550530.6
Aptos,796623.2,870272.3,916477.2,979337,972062,987808.3,1240864
Arbuckle,212266.2,236074.2,259781.2,285650.3,304460.5,324803.8,376395.5
Arcadia,1096247.6,1024054.9,1077248.4,1165661.3,1132696.4,1142269,1249972.1
Arcata,351218.2,381185.5,414073.8,431803.7,448062.4,455380,486728.6
Arden-Arcade,310907.3,334193.4,357693.4,382608.4,397734,415920.2,484164.3
Armona,123704.1,133890.9,144745,160061,171870.6,186342.9,221684.8
Arnold,247493.3,261398.8,277290.8,297861.9,311825.6,319029.2,411621.8
Aromas,569138.5,633989.2,680577.2,723835.1,742687.4,763732.4,893910.4
Arroyo Grande,596477.4,626322.5,682673.1,709701.3,716463.4,731346.2,828373.4
Artesia,408643.8,425662.8,469631.5,524427.7,544896.5,576949.9,654952.7
Arvin,136171,148365.9,157861.7,171295,181776.8,197144.9,226175.7
Atascadero,429587.8,458956.1,505066.9,535332.1,541742.4,560612.1,639963.6
Atherton,5311596.8,5715341.1,5818304.7,6293548.3,6114062.5,6424026.8,7234002.9
Atwater,196104.2,214385.3,236559.9,259838.4,279105,293381.7,349230.2
Auberry,275554.6,293596.6,304408.9,323845.9,328546.9,332495.2,393430.9
Auburn,379138.3,408087.9,438338.2,470622.2,486982.2,505389.9,593692.3
August,108428.2,130193.6,153677.9,183677.4,207322.6,229081.2,270811.9
Avalon,643182.4,636372.1,668024.5,747161,779869,770964.4,850532.5
Avenal,106133.3,115703.6,126688.7,137520.4,147477.5,160237.1,186748.5
Avila Beach,984388,1015308.5,1105395,1179206.7,1176515.4,1176096,1303465.7
Avocado Heights,382740.6,400474.8,446954,505545.9,528762.5,559482,647349.4
Azusa,370819.1,386443,423843.7,463478.4,477245.1,502844.5,579681
Bakersfield,218718.9,225261.3,230508.4,242099.3,253835.7,270198.3,315596.4
Baldwin Park,341867,357549,392618.9,447741.9,468642.5,496254.6,566450.9
Ballico,444988.4,477365.8,523141.6,575847.2,596900,617863.9,757794.5
Bangor,235644.5,252089.3,276918.4,305087.9,325586.1,320444,380268.1
Banning,197124.4,214581.5,232914.8,263083.7,274601.2,284792.4,333287.5
Barstow,96538.7,105689.4,121247.9,145364,152111.5,161984.1,201331.4
Bass Lake,397661.7,392625.1,401409.2,462023.1,456764.3,500534.6,578217.3
Bayside,499063.9,527921.7,566416.3,599982.1,636255.8,637809.4,685782.8
Beaumont,272314.4,291659.3,310232.8,334807.5,346990.5,364438.9,440013.1
Bell,311226.3,328658.9,365779.3,410411.7,437050.5,471003.8,531943.5
Bell Canyon,1282790.9,1377402.7,1437152.2,1515634.5,1530078.8,1559608.2,1870886
Bell Gardens,311872.6,330839.6,373100.2,421227.4,448148.9,484049.5,551097.1
Bellflower,396332.3,415087.9,456598.7,511725.1,531768.4,566282.9,651401.2
Belmont,1372497.7,1521040.4,1598586.5,1824753,1766081.5,1782607.2,2002653.7
Belvedere,3243780.4,3487601.2,3584193.4,3705238.3,3630680,3641814,4201111.1
Ben Lomond,576643.1,639303.3,687729,745477.3,741820.5,766630.3,888418.2
Benicia,526836.5,572369.3,607962.7,651818,651387.4,666006.8,773582.1
Berkeley,1002675.2,1097710.6,1166853.4,1273078.8,1254099.9,1298156.9,1458542.8
Berry Creek,184566.8,204380.1,217806,241805,261873.2,262860.2,298569.4
Bethel Island,385899.9,423413.3,459604.4,501929,510435.9,540006.3,641737.2
Beverly Hills,2426696.6,2353105,2798260.1,3638443.6,4511022.3,4719830.5,5092201.6
Bieber,93395,105445.1,117286.8,133891.2,141164.1,141019.7,170345.6
Big Bear City,178461.2,188065.5,207652.2,242787.1,248105.8,257088.2,345000.4
Big Bear Lake,301609.8,308942.6,336480.3,377159.2,373587.3,389458.2,527129.7
Big Sur,1477085.2,1685441.2,1742701.8,1854190.9,1869094.1,1816980.7,2084789.7
Biggs,159335.3,175776.9,193787.1,216780.9,246341.8,265852.8,308821.5
Bishop,324051.5,341992.9,359919.8,392042.1,411441.6,430302.9,486432.2
Bloomington,232059.8,248709.7,281638.1,325185.4,343278.2,365064.1,430429.9
Blue Lake,287359.6,300749,330210.7,357501.5,377905.5,389976.2,438963.4
Blythe,115179.7,126322,137585,152413.5,156515.6,169496.9,193313.9
Bodega Bay,789339.2,840574,854246.4,916252,918279.8,934338.1,1102440.9
Bodfish,96961.2,103108.8,109738.8,119824,128228.9,136241.4,158891.1
Bolinas,1039214.3,1208384.2,1308828.9,1444420.7,1445947.9,1534142.4,1716210.3
Bonita,583332.8,617017.8,649642.6,680130.2,687138.2,732914.8,876854.2
Bonsall,607920.2,639914.3,677773.3,717019.8,709269.2,748486.4,905120.2
Boron,48976.6,52651.9,60717.6,76851,89555.8,94371.3,116369.1
Borrego Springs,214313.9,228428.5,242266.4,248467.6,245023.8,259108.6,311300.3
Boulder Creek,488899,554726.5,598485.7,639993.4,634527.3,650108.1,742823.6
Boulevard,212609.2,240714.3,270878.4,300829,308080.2,339545.1,389991.3
Bradbury,1625308.9,1522857.2,1622802.6,1852818,1831834.8,1824616.7,1965606.9
Bradley,398812.8,412479.6,442017.7,462991.7,457987.6,477718.2,539907.8
Brawley,174680.6,189181.7,201526.3,209686.5,222815.3,242412,269299.7
Brea,605014,625358.1,679406.5,722005,722361.5,755297.3,858558
Brentwood,477794.4,519163.6,551201.2,588920.8,605172.4,626953.9,754386.2
Bridgeport,241462.5,262853.1,286028.4,306436.5,324845.3,340219.3,387584.2
